sim_num	stat	value
55	ratio	23.3698
55	geom_fitness	0.270037
56	mean_gen	0.144174
56	var_gen	1.03327
56	ratio	29.4585
56	geom_fitness	0.272878
57	mean_gen	0.112708
57	var_gen	0.583947
57	ratio	18.0654
57	geom_fitness	0.272562
58	mean_gen	0.165296
58	var_gen	1.41048
58	ratio	37.779
58	geom_fitness	0.274469
59	mean_gen	0.0417831
59	var_gen	0.0509668
59	ratio	1.10404
59	geom_fitness	0.267426
60	mean_gen	0.175972
60	var_gen	1.62126
60	ratio	41.5092
60	geom_fitness	0.274893
61	mean_gen	0.105944
61	var_gen	0.512136
61	ratio	12.6634
61	geom_fitness	0.274859
62	mean_gen	0.129983
62	var_gen	0.816411
62	ratio	21.4534
62	geom_fitness	0.272246
63	mean_gen	0.137048
63	var_gen	0.92658
63	ratio	19.3746
63	geom_fitness	0.271832
64	mean_gen	0.131241
64	var_gen	0.832244
64	ratio	18.7973
64	geom_fitness	0.270354
65	mean_gen	0.195239
65	var_gen	2.03179
65	ratio	46.1071
65	geom_fitness	0.273104
66	mean_gen	0.224785
66	var_gen	2.77787
66	ratio	45.1736
66	geom_fitness	0.270223
67	mean_gen	0.137751
67	var_gen	0.935361
67	ratio	28.5687
67	geom_fitness	0.275645
68	mean_gen	0.120632
68	var_gen	0.686234
68	ratio	21.6994
68	geom_fitness	0.274053
69	mean_gen	0.0526376
69	var_gen	0.0927752
69	ratio	1.79645
69	geom_fitness	0.268662
70	mean_gen	0.121877
70	var_gen	0.710644
70	ratio	19.7811
70	geom_fitness	0.276275
71	mean_gen	0.132806
71	var_gen	0.85906
71	ratio	22.2128
71	geom_fitness	0.272278
72	mean_gen	0.142242
72	var_gen	0.997407
72	ratio	29.8853
72	geom_fitness	0.271667
73	mean_gen	0.14467
73	var_gen	1.0399
73	ratio	24.1129
73	geom_fitness	0.273413
74	mean_gen	0.0742673
74	var_gen	0.21872
74	ratio	4.33514
74	geom_fitness	0.26824
75	mean_gen	0.131353
75	var_gen	0.840163
75	ratio	19.0172
75	geom_fitness	0.271728
76	mean_gen	0.091425
76	var_gen	0.359874
76	ratio	7.63444
76	geom_fitness	0.270484
77	mean_gen	0.156919
77	var_gen	1.25208
77	ratio	36.2247
77	geom_fitness	0.274284
78	mean_gen	0.109412
78	var_gen	0.549868
78	ratio	16.2465
78	geom_fitness	0.276404
79	mean_gen	0.144213
79	var_gen	1.0398
79	ratio	23.7525
79	geom_fitness	0.272614
80	mean_gen	0.136547
80	var_gen	0.90826
80	ratio	26.98
80	geom_fitness	0.272369
81	mean_gen	0.149919
81	var_gen	1.13303
81	ratio	23.1689
81	geom_fitness	0.2725
82	mean_gen	0.134928
82	var_gen	0.893043
82	ratio	15.4465
82	geom_fitness	0.269126
83	mean_gen	0.0178285
83	var_gen	0.0174191
83	ratio	0.309304
83	geom_fitness	0.26425
84	mean_gen	0.0787985
84	var_gen	0.247129
84	ratio	6.28232
84	geom_fitness	0.270746
85	mean_gen	0.188023
85	var_gen	1.87791
85	ratio	30.3601
85	geom_fitness	0.267673
86	mean_gen	0.180326
86	var_gen	1.70448
86	ratio	44.6764
86	geom_fitness	0.273241
87	mean_gen	0.0225147
87	var_gen	0.0181668
87	ratio	0.340499
87	geom_fitness	0.265468
88	mean_gen	0.111443
88	var_gen	0.571084
88	ratio	14.829
88	geom_fitness	0.271597
89	mean_gen	0.166116
89	var_gen	1.42298
89	ratio	34.1588
89	geom_fitness	0.273417
90	mean_gen	0.220761
90	var_gen	2.66237
90	ratio	53.1058
90	geom_fitness	0.272293
91	mean_gen	0.0521223
91	var_gen	0.0904179
91	ratio	1.84062
91	geom_fitness	0.265578
92	mean_gen	0.134246
92	var_gen	0.882817
92	ratio	23.8605
92	geom_fitness	0.274909
93	mean_gen	0.157513
93	var_gen	1.26832
93	ratio	31.3784
93	geom_fitness	0.273864
94	mean_gen	0.0986691
94	var_gen	0.424681
94	ratio	9.68741
94	geom_fitness	0.268578
95	mean_gen	0.0791265
95	var_gen	0.250463
95	ratio	6.43519
95	geom_fitness	0.272081
96	mean_gen	0.138905
96	var_gen	0.948819
96	ratio	25.4633
96	geom_fitness	0.27245
97	mean_gen	0.112674
97	var_gen	0.581349
97	ratio	15.6983
97	geom_fitness	0.270263
98	mean_gen	0.16353
98	var_gen	1.37914
98	ratio	38.7026
98	geom_fitness	0.275883
99	mean_gen	0.210978
99	var_gen	2.41688
99	ratio	39.2091
99	geom_fitness	0.265043
