sim_num	stat	value
0	mean_gen	0
0	var_gen	0.010489
0	ratio	0.180241
0	geom_fitness	0.401775
1	mean_gen	0
1	var_gen	0.0101507
1	ratio	0.211806
1	geom_fitness	0.402335
2	mean_gen	0
2	var_gen	0.0104886
2	ratio	0.278475
2	geom_fitness	0.401276
3	mean_gen	0
3	var_gen	0.0108273
3	ratio	0.309765
3	geom_fitness	0.400504
4	mean_gen	0
4	var_gen	0.0105205
4	ratio	0.24365
4	geom_fitness	0.401148
5	mean_gen	0
5	var_gen	0.0103385
5	ratio	0.185588
5	geom_fitness	0.402059
6	mean_gen	0
6	var_gen	0.0101811
6	ratio	0.23012
6	geom_fitness	0.401869
7	mean_gen	0
7	var_gen	0.010999
7	ratio	0.211733
7	geom_fitness	0.400115
8	mean_gen	0
8	var_gen	0.0105218
8	ratio	0.167293
8	geom_fitness	0.401274
9	mean_gen	0
9	var_gen	0.0105451
9	ratio	0.249862
9	geom_fitness	0.401345
10	mean_gen	0
10	var_gen	0.0106846
10	ratio	0.293885
10	geom_fitness	0.401307
11	mean_gen	0
11	var_gen	0.0108216
11	ratio	0.266545
11	geom_fitness	0.401392
12	mean_gen	0
12	var_gen	0.010752
12	ratio	0.272745
12	geom_fitness	0.400736
13	mean_gen	0
13	var_gen	0.0100783
13	ratio	0.23436
13	geom_fitness	0.40233
14	mean_gen	0
14	var_gen	0.0102245
14	ratio	0.225929
14	geom_fitness	0.401938
15	mean_gen	0
15	var_gen	0.0104255
15	ratio	0.280129
15	geom_fitness	0.401595
16	mean_gen	0
16	var_gen	0.0108949
16	ratio	0.274204
16	geom_fitness	0.400709
17	mean_gen	0
17	var_gen	0.0109158
17	ratio	0.29618
17	geom_fitness	0.401118
18	mean_gen	0
18	var_gen	0.0106761
18	ratio	0.241687
18	geom_fitness	0.400924
19	mean_gen	0
19	var_gen	0.0101908
19	ratio	0.300532
19	geom_fitness	0.402226
20	mean_gen	0
20	var_gen	0.0103235
20	ratio	0.20858
20	geom_fitness	0.401914
21	mean_gen	0
21	var_gen	0.0108588
21	ratio	0.210757
21	geom_fitness	0.40096
22	mean_gen	0
22	var_gen	0.0103571
22	ratio	0.239298
22	geom_fitness	0.402128
23	mean_gen	0
23	var_gen	0.0106102
23	ratio	0.191968
23	geom_fitness	0.401644
24	mean_gen	0
24	var_gen	0.0110597
24	ratio	0.293344
24	geom_fitness	0.400142
25	mean_gen	0
25	var_gen	0.0111017
25	ratio	0.183847
25	geom_fitness	0.400186
26	mean_gen	0
26	var_gen	0.0102093
26	ratio	0.259339
26	geom_fitness	0.40221
27	mean_gen	0
27	var_gen	0.0106072
27	ratio	0.251215
27	geom_fitness	0.401605
28	mean_gen	0
28	var_gen	0.0112458
28	ratio	0.295076
28	geom_fitness	0.399707
29	mean_gen	0
29	var_gen	0.0106745
29	ratio	0.203651
29	geom_fitness	0.401398
30	mean_gen	0
30	var_gen	0.0106481
30	ratio	0.242146
30	geom_fitness	0.401289
31	mean_gen	0
31	var_gen	0.0105232
31	ratio	0.293167
31	geom_fitness	0.401373
32	mean_gen	0
32	var_gen	0.0107143
32	ratio	0.188622
32	geom_fitness	0.401251
33	mean_gen	0
33	var_gen	0.0100139
33	ratio	0.298217
33	geom_fitness	0.40241
34	mean_gen	0
34	var_gen	0.0109894
34	ratio	0.178599
34	geom_fitness	0.400091
35	mean_gen	0
35	var_gen	0.0104549
35	ratio	0.301651
35	geom_fitness	0.401547
36	mean_gen	0
36	var_gen	0.0106813
36	ratio	0.256751
36	geom_fitness	0.401643
37	mean_gen	0
37	var_gen	0.0111427
37	ratio	0.297553
37	geom_fitness	0.399899
38	mean_gen	0
38	var_gen	0.0106924
38	ratio	0.314713
38	geom_fitness	0.400925
39	mean_gen	0
39	var_gen	0.0109975
39	ratio	0.273279
39	geom_fitness	0.400246
40	mean_gen	0
40	var_gen	0.0102875
40	ratio	0.251228
40	geom_fitness	0.401723
41	mean_gen	0
41	var_gen	0.010571
41	ratio	0.183087
41	geom_fitness	0.40144
42	mean_gen	0
42	var_gen	0.01111
42	ratio	0.157586
42	geom_fitness	0.400259
43	mean_gen	0
43	var_gen	0.0106246
43	ratio	0.29904
43	geom_fitness	0.401735
44	mean_gen	0
44	var_gen	0.0108992
44	ratio	0.252354
44	geom_fitness	0.400797
45	mean_gen	0
45	var_gen	0.0101709
45	ratio	0.25972
45	geom_fitness	0.402012
46	mean_gen	0
46	var_gen	0.0103246
46	ratio	0.196938
46	geom_fitness	0.401615
47	mean_gen	0
47	var_gen	0.0104844
47	ratio	0.244238
47	geom_fitness	0.401613
