1,0.5
2,0.62941
3,0.75
4,0.853553
5,0.933013
6,0.982963
7,1
8,0.982963
9,0.933013
10,0.853553
11,0.75
12,0.62941
13,0.5
14,0.37059
15,0.25
16,0.146447
17,0.0669873
18,0.0170371
19,0
20,0.0170371
21,0.0669873
22,0.146447
23,0.25
24,0.37059
25,0.5
26,0.62941
27,0.75
28,0.853553
29,0.933013
30,0.982963
31,1
32,0.982963
33,0.933013
34,0.853553
35,0.75
36,0.62941
37,0.5
38,0.37059
39,0.25
40,0.146447
41,0.0669873
42,0.0170371
43,0
44,0.0170371
45,0.0669873
46,0.146447
47,0.25
48,0.37059
49,0.5
50,0.62941
51,0.75
52,0.853553
53,0.933013
54,0.982963
55,1
56,0.982963
57,0.933013
58,0.853553
59,0.75
60,0.62941
61,0.5
62,0.37059
63,0.25
64,0.146447
65,0.0669873
66,0.0170371
67,0
68,0.0170371
69,0.0669873
70,0.146447
71,0.25
72,0.37059
73,0.5
74,0.62941
75,0.75
76,0.853553
77,0.933013
78,0.982963
79,1
80,0.982963
81,0.933013
82,0.853553
83,0.75
84,0.62941
85,0.5
86,0.37059
87,0.25
88,0.146447
89,0.0669873
90,0.0170371
91,0
92,0.0170371
93,0.0669873
94,0.146447
95,0.25
96,0.37059
97,0.5
98,0.62941
99,0.75
100,0.853553
101,0.933013
102,0.982963
103,1
104,0.982963
105,0.933013
106,0.853553
107,0.75
108,0.62941
109,0.5
110,0.37059
111,0.25
112,0.146447
113,0.0669873
114,0.0170371
115,0
116,0.0170371
117,0.0669873
118,0.146447
119,0.25
120,0.37059
121,0.5
122,0.62941
123,0.75
124,0.853553
125,0.933013
126,0.982963
127,1
128,0.982963
129,0.933013
130,0.853553
131,0.75
132,0.62941
133,0.5
134,0.37059
135,0.25
136,0.146447
137,0.0669873
138,0.0170371
139,0
140,0.0170371
141,0.0669873
142,0.146447
143,0.25
144,0.37059
145,0.5
146,0.62941
147,0.75
148,0.853553
149,0.933013
150,0.982963
151,1
152,0.982963
153,0.933013
154,0.853553
155,0.75
156,0.62941
157,0.5
158,0.37059
159,0.25
160,0.146447
161,0.0669873
162,0.0170371
163,0
164,0.0170371
165,0.0669873
166,0.146447
167,0.25
168,0.37059
169,0.5
170,0.62941
171,0.75
172,0.853553
173,0.933013
174,0.982963
175,1
176,0.982963
177,0.933013
178,0.853553
179,0.75
180,0.62941
181,0.5
182,0.37059
183,0.25
184,0.146447
185,0.0669873
186,0.0170371
187,0
188,0.0170371
189,0.0669873
190,0.146447
191,0.25
192,0.37059
193,0.5
194,0.62941
195,0.75
196,0.853553
197,0.933013
198,0.982963
199,1
200,0.982963
201,0.933013
202,0.853553
203,0.75
204,0.62941
205,0.5
206,0.37059
207,0.25
208,0.146447
209,0.0669873
210,0.0170371
211,0
212,0.0170371
213,0.0669873
214,0.146447
215,0.25
216,0.37059
217,0.5
218,0.62941
219,0.75
220,0.853553
221,0.933013
222,0.982963
223,1
224,0.982963
225,0.933013
226,0.853553
227,0.75
228,0.62941
229,0.5
230,0.37059
231,0.25
232,0.146447
233,0.0669873
234,0.0170371
235,0
236,0.0170371
237,0.0669873
238,0.146447
239,0.25
240,0.37059
241,0.5
242,0.62941
243,0.75
244,0.853553
245,0.933013
246,0.982963
247,1
248,0.982963
249,0.933013
250,0.853553
251,0.75
252,0.62941
253,0.5
254,0.37059
255,0.25
256,0.146447
257,0.0669873
258,0.0170371
259,0
260,0.0170371
261,0.0669873
262,0.146447
263,0.25
264,0.37059
265,0.5
266,0.62941
267,0.75
268,0.853553
269,0.933013
270,0.982963
271,1
272,0.982963
273,0.933013
274,0.853553
275,0.75
276,0.62941
277,0.5
278,0.37059
279,0.25
280,0.146447
281,0.0669873
282,0.0170371
283,0
284,0.0170371
285,0.0669873
286,0.146447
287,0.25
288,0.37059
289,0.5
290,0.62941
291,0.75
292,0.853553
293,0.933013
294,0.982963
295,1
296,0.982963
297,0.933013
298,0.853553
299,0.75
300,0.62941
301,0.5
302,0.37059
303,0.25
304,0.146447
305,0.0669873
306,0.0170371
307,0
308,0.0170371
309,0.0669873
310,0.146447
311,0.25
