sim_num,stat,value
58,var_gen,3.75
58,ratio,19.9606
58,geom_fitness,0.153355
59,mean_gen,0.5
59,var_gen,3.75
59,ratio,18.4017
59,geom_fitness,0.153355
60,mean_gen,0.5
60,var_gen,3.75
60,ratio,23.2989
60,geom_fitness,0.153355
61,mean_gen,0.5
61,var_gen,3.75
61,ratio,45.6605
61,geom_fitness,0.153355
62,mean_gen,0.5
62,var_gen,3.75
62,ratio,7.10227
62,geom_fitness,0.153355
63,mean_gen,0.5
63,var_gen,3.75
63,ratio,15.4916
63,geom_fitness,0.153355
64,mean_gen,0.5
64,var_gen,3.75
64,ratio,9.40133
64,geom_fitness,0.153355
65,mean_gen,0.5
65,var_gen,3.75
65,ratio,664.716
65,geom_fitness,0.153355
66,mean_gen,0.5
66,var_gen,3.75
66,ratio,80.6725
66,geom_fitness,0.153355
67,mean_gen,0.5
67,var_gen,3.75
67,ratio,37.959
67,geom_fitness,0.153355
68,mean_gen,0.5
68,var_gen,3.75
68,ratio,9.07744
68,geom_fitness,0.153355
69,mean_gen,0.5
69,var_gen,3.75
69,ratio,7.43386
69,geom_fitness,0.153355
70,mean_gen,0.5
70,var_gen,3.75
70,ratio,36.0428
70,geom_fitness,0.153355
71,mean_gen,0.5
71,var_gen,3.75
71,ratio,10.6827
71,geom_fitness,0.153355
72,mean_gen,0.5
72,var_gen,3.75
72,ratio,7.31327
72,geom_fitness,0.153355
73,mean_gen,0.5
73,var_gen,3.75
73,ratio,9.03695
73,geom_fitness,0.153355
74,mean_gen,0.5
74,var_gen,3.75
74,ratio,9.23703
74,geom_fitness,0.153355
75,mean_gen,0.5
75,var_gen,3.75
75,ratio,4.93858
75,geom_fitness,0.153355
76,mean_gen,0.5
76,var_gen,3.75
76,ratio,8.02784
76,geom_fitness,0.153355
77,mean_gen,0.5
77,var_gen,3.75
77,ratio,10.2289
77,geom_fitness,0.153355
78,mean_gen,0.5
78,var_gen,3.75
78,ratio,5.01192
78,geom_fitness,0.153355
79,mean_gen,0.5
79,var_gen,3.75
79,ratio,9.65436
79,geom_fitness,0.153355
80,mean_gen,0.5
80,var_gen,3.75
80,ratio,11.2534
80,geom_fitness,0.153355
81,mean_gen,0.5
81,var_gen,3.75
81,ratio,12.4551
81,geom_fitness,0.153355
82,mean_gen,0.5
82,var_gen,3.75
82,ratio,8.86046
82,geom_fitness,0.153355
83,mean_gen,0.5
83,var_gen,3.75
83,ratio,5.61302
83,geom_fitness,0.153355
84,mean_gen,0.5
84,var_gen,3.75
84,ratio,3.63004
84,geom_fitness,0.153355
85,mean_gen,0.5
85,var_gen,3.75
85,ratio,14.2245
85,geom_fitness,0.153355
86,mean_gen,0.5
86,var_gen,3.75
86,ratio,17.6735
86,geom_fitness,0.153355
87,mean_gen,0.5
87,var_gen,3.75
87,ratio,17.1565
87,geom_fitness,0.153355
88,mean_gen,0.5
88,var_gen,3.75
88,ratio,9.55858
88,geom_fitness,0.153355
89,mean_gen,0.5
89,var_gen,3.75
89,ratio,14.048
89,geom_fitness,0.153355
90,mean_gen,0.5
90,var_gen,3.75
90,ratio,179.618
90,geom_fitness,0.153355
91,mean_gen,0.5
91,var_gen,3.75
91,ratio,14.2902
91,geom_fitness,0.153355
92,mean_gen,0.5
92,var_gen,3.75
92,ratio,13.1891
92,geom_fitness,0.153355
93,mean_gen,0.5
93,var_gen,3.75
93,ratio,3.17065
93,geom_fitness,0.153355
94,mean_gen,0.5
94,var_gen,3.75
94,ratio,5.76721
94,geom_fitness,0.153355
95,mean_gen,0.5
95,var_gen,3.75
95,ratio,11.4536
95,geom_fitness,0.153355
96,mean_gen,0.5
96,var_gen,3.75
96,ratio,27.4335
96,geom_fitness,0.153355
97,mean_gen,0.5
97,var_gen,3.75
97,ratio,12.6242
97,geom_fitness,0.153355
98,mean_gen,0.5
98,var_gen,3.75
98,ratio,19.1944
98,geom_fitness,0.153355
99,mean_gen,0.5
99,var_gen,3.75
99,ratio,9.67418
99,geom_fitness,0.153355
