sim_num	stat	value
55	geom_fitness	0.323583
56	mean_gen	0.286356
56	var_gen	1.1671
56	ratio	6.03018
56	geom_fitness	0.324948
57	mean_gen	0.278463
57	var_gen	1.10836
57	ratio	3.05113
57	geom_fitness	0.330058
58	mean_gen	0.284672
58	var_gen	1.14936
58	ratio	4.63006
58	geom_fitness	0.318153
59	mean_gen	0.286513
59	var_gen	1.1658
59	ratio	2.29003
59	geom_fitness	0.317583
60	mean_gen	0.286099
60	var_gen	1.163
60	ratio	5.29625
60	geom_fitness	0.322921
61	mean_gen	0.282768
61	var_gen	1.13338
61	ratio	3.63679
61	geom_fitness	0.315705
62	mean_gen	0.290075
62	var_gen	1.19463
62	ratio	3.31642
62	geom_fitness	0.31887
63	mean_gen	0.272444
63	var_gen	1.06501
63	ratio	40.399
63	geom_fitness	0.336406
64	mean_gen	0.288016
64	var_gen	1.17662
64	ratio	4.32741
64	geom_fitness	0.317571
65	mean_gen	0.292214
65	var_gen	1.21382
65	ratio	3.79167
65	geom_fitness	0.321712
66	mean_gen	0.270914
66	var_gen	1.042
66	ratio	9.3042
66	geom_fitness	0.322159
67	mean_gen	0.280247
67	var_gen	1.11492
67	ratio	3.21173
67	geom_fitness	0.320574
68	mean_gen	0.278713
68	var_gen	1.12214
68	ratio	127.296
68	geom_fitness	0.343495
69	mean_gen	0.290136
69	var_gen	1.19518
69	ratio	4.51021
69	geom_fitness	0.318743
70	mean_gen	0.277551
70	var_gen	1.09926
70	ratio	4.84512
70	geom_fitness	0.329899
71	mean_gen	0.287523
71	var_gen	1.17803
71	ratio	2.09213
71	geom_fitness	0.325894
72	mean_gen	0.282593
72	var_gen	1.13288
72	ratio	4.37729
72	geom_fitness	0.317812
73	mean_gen	0.290603
73	var_gen	1.20118
73	ratio	2.39715
73	geom_fitness	0.321754
74	mean_gen	0.286406
74	var_gen	1.16379
74	ratio	4.23012
74	geom_fitness	0.318472
75	mean_gen	0.276392
75	var_gen	1.08851
75	ratio	6.86871
75	geom_fitness	0.328642
76	mean_gen	0.273084
76	var_gen	1.08704
76	ratio	79.567
76	geom_fitness	0.340225
77	mean_gen	0.286818
77	var_gen	1.17034
77	ratio	3.64577
77	geom_fitness	0.322317
78	mean_gen	0.292187
78	var_gen	1.21692
78	ratio	2.95166
78	geom_fitness	0.325463
79	mean_gen	0.285924
79	var_gen	1.16264
79	ratio	5.02548
79	geom_fitness	0.32452
80	mean_gen	0.28904
80	var_gen	1.18622
80	ratio	2.06175
80	geom_fitness	0.315581
81	mean_gen	0.280917
81	var_gen	1.12823
81	ratio	13.4085
81	geom_fitness	0.331885
82	mean_gen	0.290052
82	var_gen	1.19871
82	ratio	2.50577
82	geom_fitness	0.322135
83	mean_gen	0.287527
83	var_gen	1.17669
83	ratio	5.08223
83	geom_fitness	0.326765
84	mean_gen	0.276275
84	var_gen	1.08414
84	ratio	9.89473
84	geom_fitness	0.32315
85	mean_gen	0.272752
85	var_gen	1.05649
85	ratio	2.38042
85	geom_fitness	0.320427
86	mean_gen	0.286799
86	var_gen	1.17392
86	ratio	2.39999
86	geom_fitness	0.328538
87	mean_gen	0.291497
87	var_gen	1.20831
87	ratio	4.27697
87	geom_fitness	0.323861
88	mean_gen	0.287721
88	var_gen	1.17503
88	ratio	3.11065
88	geom_fitness	0.317277
89	mean_gen	0.294163
89	var_gen	1.22926
89	ratio	3.03608
89	geom_fitness	0.318349
90	mean_gen	0.291972
90	var_gen	1.21054
90	ratio	3.49368
90	geom_fitness	0.319114
91	mean_gen	0.296696
91	var_gen	1.2555
91	ratio	2.59509
91	geom_fitness	0.327039
92	mean_gen	0.285537
92	var_gen	1.16336
92	ratio	5.6972
92	geom_fitness	0.330276
93	mean_gen	0.287072
93	var_gen	1.17141
93	ratio	5.82778
93	geom_fitness	0.323881
94	mean_gen	0.288789
94	var_gen	1.18622
94	ratio	3.41397
94	geom_fitness	0.320649
95	mean_gen	0.290616
95	var_gen	1.19856
95	ratio	3.78043
95	geom_fitness	0.317469
96	mean_gen	0.288217
96	var_gen	1.18622
96	ratio	1.88593
96	geom_fitness	0.327341
97	mean_gen	0.286588
97	var_gen	1.17205
97	ratio	4.60118
97	geom_fitness	0.329477
98	mean_gen	0.28559
98	var_gen	1.16378
98	ratio	3.24804
98	geom_fitness	0.329287
99	mean_gen	0.274296
99	var_gen	1.06899
99	ratio	9.42048
99	geom_fitness	0.323429
