sim_num	time	gamete_num	prop	gamete_value
0	0	-1	0.5	0.1
0	1	-1	0.562667	0.1
0	2	-1	0.624345	0.1
0	3	-1	0.684062	0.1
0	4	-1	0.740877	0.1
0	5	-1	0.793893	0.1
0	6	-1	0.842274	0.1
0	7	-1	0.885257	0.1
0	8	-1	0.922164	0.1
0	9	-1	0.952414	0.1
0	10	-1	0.975528	0.1
0	11	-1	0.991144	0.1
0	12	-1	0.999013	0.1
0	13	-1	0.999013	0.1
0	14	-1	0.991144	0.1
0	15	-1	0.975528	0.1
0	16	-1	0.952414	0.1
0	17	-1	0.922164	0.1
0	18	-1	0.885257	0.1
0	19	-1	0.842274	0.1
0	20	-1	0.793893	0.1
0	21	-1	0.740877	0.1
0	22	-1	0.684062	0.1
0	23	-1	0.624345	0.1
0	24	-1	0.562667	0.1
0	25	-1	0.5	0.1
0	26	-1	0.437333	0.1
0	27	-1	0.375655	0.1
0	28	-1	0.315938	0.1
0	29	-1	0.259123	0.1
0	30	-1	0.206107	0.1
0	31	-1	0.157726	0.1
0	32	-1	0.114743	0.1
0	33	-1	0.077836	0.1
0	34	-1	0.0475865	0.1
0	35	-1	0.0244717	0.1
0	36	-1	0.00885637	0.1
0	37	-1	0.000986636	0.1
0	38	-1	0.000986636	0.1
0	39	-1	0.00885637	0.1
0	40	-1	0.0244717	0.1
0	41	-1	0.0475865	0.1
0	42	-1	0.077836	0.1
0	43	-1	0.114743	0.1
0	44	-1	0.157726	0.1
0	45	-1	0.206107	0.1
0	46	-1	0.259123	0.1
0	47	-1	0.315938	0.1
0	48	-1	0.375655	0.1
0	49	-1	0.437333	0.1
0	0	0	0.0310872	0
0	0	1	0.0353201	0.0306724
0	0	2	0.0386101	0.0601031
0	0	3	0.0458343	0.0907755
0	1	0	0.0304405	0
0	1	1	0.0343955	0.0306724
0	1	2	0.0373309	0.0601031
0	1	3	0.0443427	0.0907755
0	2	0	0.0300578	0
0	2	1	0.0337808	0.0306724
0	2	2	0.0363567	0.0601031
0	2	3	0.0430224	0.0907755
0	3	0	0.0299524	0
0	3	1	0.0335059	0.0306724
0	3	2	0.0357766	0.0601031
0	3	3	0.0420641	0.0907755
0	4	0	0.0300751	0
0	4	1	0.0335163	0.0306724
0	4	2	0.0355753	0.0601031
0	4	3	0.0416175	0.0907755
0	5	0	0.0303327	0
0	5	1	0.0336975	0.0306724
0	5	2	0.0356285	0.0601031
0	5	3	0.0416657	0.0907755
0	6	0	0.0306405	0
0	6	1	0.0339455	0.0306724
0	6	2	0.0357903	0.0601031
0	6	3	0.0420542	0.0907755
0	7	0	0.0309482	0
0	7	1	0.0342033	0.0306724
0	7	2	0.0359652	0.0601031
0	7	3	0.0426063	0.0907755
0	8	0	0.0312305	0
0	8	1	0.0344459	0.0306724
0	8	2	0.036112	0.0601031
0	8	3	0.0431909	0.0907755
0	9	0	0.0314722	0
0	9	1	0.0346591	0.0306724
0	9	2	0.036219	0.0601031
0	9	3	0.0437278	0.0907755
0	10	0	0.031663	0
0	10	1	0.0348317	0.0306724
0	10	2	0.0362854	0.0601031
0	10	3	0.0441728	0.0907755
0	11	0	0.031796	0
0	11	1	0.0349544	0.0306724
0	11	2	0.0363132	0.0601031
0	11	3	0.0445032	0.0907755
0	12	0	0.031867	0
0	12	1	0.0350205	0.0306724
0	12	2	0.0363041	0.0601031
0	12	3	0.0447092	0.0907755
0	13	0	0.0318743	0
0	13	1	0.0350263	0.0306724
0	13	2	0.0362593	0.0601031
0	13	3	0.0447885	0.0907755
0	14	0	0.0318176	0
0	14	1	0.0349704	0.0306724
0	14	2	0.0361799	0.0601031
0	14	3	0.0447432	0.0907755
0	15	0	0.0316986	0
0	15	1	0.0348541	0.0306724
0	15	2	0.0360675	0.0601031
0	15	3	0.044579	0.0907755
0	16	0	0.0315208	0
0	16	1	0.0346815	0.0306724
0	16	2	0.0359253	0.0601031
0	16	3	0.0443049	0.0907755
0	17	0	0.0312908	0
0	17	1	0.0344599	0.0306724
0	17	2	0.0357594	0.0601031
0	17	3	0.0439351	0.0907755
0	18	0	0.0310187	0
0	18	1	0.0342015	0.0306724
0	18	2	0.0355803	0.0601031
0	18	3	0.0434914	0.0907755
0	19	0	0.0307206	0
0	19	1	0.0339251	0.0306724
0	19	2	0.0354051	0.0601031
0	19	3	0.043007	0.0907755
0	20	0	0.0304195	0
0	20	1	0.0336579	0.0306724
0	20	2	0.0352602	0.0601031
0	20	3	0.042531	0.0907755
0	21	0	0.0301479	0
0	21	1	0.033438	0.0306724
0	21	2	0.0351838	0.0601031
0	21	3	0.0421327	0.0907755
0	22	0	0.0299486	0
0	22	1	0.0333153	0.0306724
0	22	2	0.0352288	0.0601031
0	22	3	0.0419034	0.0907755
0	23	0	0.0298736	0
0	23	1	0.0333511	0.0306724
0	23	2	0.0354625	0.0601031
0	23	3	0.0419536	0.0907755
0	24	0	0.0299796	0
0	24	1	0.0336119	0.0306724
0	24	2	0.0359612	0.0601031
0	24	3	0.042398	0.0907755
0	25	0	0.0303173	0
0	25	1	0.0341569	0.0306724
0	25	2	0.0367947	0.0601031
0	25	3	0.0433276	0.0907755
0	26	0	0.030915	0
0	26	1	0.035019	0.0306724
0	26	2	0.0380014	0.0601031
