sim_num	time	gamete_num	opti_G
65	0	1	0.0362516
65	0	2	0.0363373
65	0	3	0.0448862
66	0	-1	0.5
66	0	0	0.0258244
66	0	1	0.0345307
66	0	2	0.0328451
66	0	3	0.0458967
67	0	-1	0.5
67	0	0	0.0205527
67	0	1	0.0309077
67	0	2	0.0306287
67	0	3	0.0486626
68	0	-1	0.5
68	0	0	0.0211147
68	0	1	0.0356317
68	0	2	0.0309025
68	0	3	0.0536565
69	0	-1	0.5
69	0	0	0.0233936
69	0	1	0.0332993
69	0	2	0.0300594
69	0	3	0.0442717
70	0	-1	0.5
70	0	0	0.0219856
70	0	1	0.0281551
70	0	2	0.0310612
70	0	3	0.0429214
71	0	-1	0.5
71	0	0	0.0212669
71	0	1	0.0261052
71	0	2	0.0319908
71	0	3	0.0438322
72	0	-1	0.5
72	0	0	0.0215128
72	0	1	0.0271859
72	0	2	0.0316329
72	0	3	0.043896
73	0	-1	0.5
73	0	0	0.023664
73	0	1	0.0311239
73	0	2	0.0338452
73	0	3	0.0485736
74	0	-1	0.5
74	0	0	0.0207213
74	0	1	0.0292821
74	0	2	0.0314298
74	0	3	0.0480247
75	0	-1	0.5
75	0	0	0.0279259
75	0	1	0.0362914
75	0	2	0.0339632
75	0	3	0.0457992
76	0	-1	0.5
76	0	0	0.0226039
76	0	1	0.0351097
76	0	2	0.03056
76	0	3	0.0487796
77	0	-1	0.5
77	0	0	0.0230159
77	0	1	0.0291075
77	0	2	0.0316131
77	0	3	0.0429734
78	0	-1	0.5
78	0	0	0.022922
78	0	1	0.0313889
78	0	2	0.0321915
78	0	3	0.0470649
79	0	-1	0.5
79	0	0	0.0251916
79	0	1	0.0301642
79	0	2	0.0331582
79	0	3	0.0426926
80	0	-1	0.5
80	0	0	0.0250767
80	0	1	0.0286809
80	0	2	0.0328984
80	0	3	0.0406939
81	0	-1	0.5
81	0	0	0.0220575
81	0	1	0.0317072
81	0	2	0.0306022
81	0	3	0.0461314
82	0	-1	0.5
82	0	0	0.0252385
82	0	1	0.0313871
82	0	2	0.0362454
82	0	3	0.050597
83	0	-1	0.5
83	0	0	0.0224388
83	0	1	0.0287946
83	0	2	0.0333697
83	0	3	0.0475311
84	0	-1	0.5
84	0	0	0.0225879
84	0	1	0.0271745
84	0	2	0.0323384
84	0	3	0.04289
85	0	-1	0.5
85	0	0	0.0281219
85	0	1	0.0330877
85	0	2	0.0372435
85	0	3	0.047875
86	0	-1	0.5
86	0	0	0.0228691
86	0	1	0.0305009
86	0	2	0.0309032
86	0	3	0.0436127
87	0	-1	0.5
87	0	0	0.0283997
87	0	1	0.0330689
87	0	2	0.0339546
87	0	3	0.0415601
88	0	-1	0.5
88	0	0	0.0220074
88	0	1	0.0263891
88	0	2	0.0321126
88	0	3	0.0427346
89	0	-1	0.5
89	0	0	0.0291483
89	0	1	0.0358468
89	0	2	0.0343996
89	0	3	0.0439176
90	0	-1	0.5
90	0	0	0.0257329
90	0	1	0.0380366
90	0	2	0.0294603
90	0	3	0.044231
91	0	-1	0.5
91	0	0	0.028737
91	0	1	0.0317498
91	0	2	0.0350056
91	0	3	0.0411388
92	0	-1	0.5
92	0	0	0.0257405
92	0	1	0.0336553
92	0	2	0.0316944
92	0	3	0.043162
93	0	-1	0.5
93	0	0	0.0263296
93	0	1	0.039363
93	0	2	0.0311832
93	0	3	0.0471814
94	0	-1	0.5
94	0	0	0.0254194
94	0	1	0.0293959
94	0	2	0.0330254
94	0	3	0.0411205
95	0	-1	0.5
95	0	0	0.0266298
95	0	1	0.0365514
95	0	2	0.0326664
95	0	3	0.0462489
96	0	-1	0.5
96	0	0	0.0232755
96	0	1	0.0295352
96	0	2	0.0318556
96	0	3	0.0434078
97	0	-1	0.5
97	0	0	0.0320363
97	0	1	0.0380624
97	0	2	0.0354876
97	0	3	0.043177
98	0	-1	0.5
98	0	0	0.0269702
98	0	1	0.0323607
98	0	2	0.0343888
98	0	3	0.0439794
99	0	-1	0.5
99	0	0	0.0284849
99	0	1	0.0327054
99	0	2	0.0370561
99	0	3	0.0462233
